-----Test 1-----
0 0
97 100
194 200
289 300
385 400
480 500
578 600
677 700
775 800
871 900
968 1000
-----Test 2-----
0 0
100 100
199 200
297 300
392 400
491 500
589 600
688 700
785 800
883 900
983 1000
-----Test 3-----
0 0
100 100
199 200
298 300
397 400
491 500
588 600
683 700
774 800
865 900
962 1000
-----Test 4-----
0 0
100 100
199 200
297 300
397 400
497 500
594 600
693 700
789 800
880 900
975 1000
-----Test 5-----
0 0
100 100
200 200
300 300
400 400
500 500
598 600
696 700
795 800
894 900
992 1000
-----Test 6-----
0 0
100 100
200 200
300 300
400 400
500 500
596 600
696 700
795 800
892 900
990 1000
-----Test 7-----
0 0
100 100
200 200
300 300
399 400
495 500
592 600
687 700
786 800
885 900
983 1000
-----Test 8-----
0 0
99 100
198 200
294 300
389 400
487 500
586 600
682 700
780 800
874 900
971 1000
-----Test 9-----
0 0
94 100
190 200
289 300
379 400
474 500
569 600
665 700
762 800
856 900
955 1000
-----Test 10-----
0 0
100 100
200 200
300 300
400 400
500 500
597 600
696 700
794 800
893 900
993 1000



